fourtaxa,split,splitcode,h1,h2,g1,g2,g3
africa_east-africa_west-chimp-denisovan,africa_east-africa_west|chimp-denisovan,12_34,0,0,,,
africa_east-africa_west-chimp-neanderthal_east,africa_east-africa_west|chimp-neanderthal_east,12_34,0,0,,,
africa_east-africa_west-chimp-neanderthal_west,africa_east-africa_west|chimp-neanderthal_west,12_34,0,0,,,
africa_east-africa_west-chimp-non_africa_east,,,3,1,0.32,,
africa_east-africa_west-chimp-non_africa_west,,,3,1,0.32,,
africa_east-africa_west-denisovan-neanderthal_east,africa_east-africa_west|denisovan-neanderthal_east,12_34,0,0,,,
africa_east-africa_west-denisovan-neanderthal_west,africa_east-africa_west|denisovan-neanderthal_west,12_34,0,0,,,
africa_east-africa_west-denisovan-non_africa_east,,,4,4,0.52,0.32,0.19
africa_east-africa_west-denisovan-non_africa_west,,,4,4,0.52,0.32,0.19
africa_east-africa_west-neanderthal_east-neanderthal_west,africa_east-africa_west|neanderthal_east-neanderthal_west,12_34,0,0,,,
africa_east-africa_west-neanderthal_east-non_africa_east,,,3,1,0.32,,
africa_east-africa_west-neanderthal_east-non_africa_west,,,3,1,0.32,,
africa_east-africa_west-neanderthal_west-non_africa_east,,,3,1,0.32,,
africa_east-africa_west-neanderthal_west-non_africa_west,,,3,1,0.32,,
africa_east-africa_west-non_africa_east-non_africa_west,africa_east-africa_west|non_africa_east-non_africa_west,12_34,0,0,,,
africa_east-chimp-denisovan-neanderthal_east,,,2,2,0.52,0.19,
africa_east-chimp-denisovan-neanderthal_west,,,2,2,0.52,0.19,
africa_east-chimp-denisovan-non_africa_east,,,4,4,0.52,0.32,0.19
africa_east-chimp-denisovan-non_africa_west,,,4,4,0.52,0.32,0.19
africa_east-chimp-neanderthal_east-neanderthal_west,africa_east-chimp|neanderthal_east-neanderthal_west,12_34,0,0,,,
africa_east-chimp-neanderthal_east-non_africa_east,,,3,3,0.32,0.19,0.06
africa_east-chimp-neanderthal_east-non_africa_west,,,3,3,0.32,0.19,0.06
africa_east-chimp-neanderthal_west-non_africa_east,,,3,3,0.32,0.19,0.06
africa_east-chimp-neanderthal_west-non_africa_west,,,3,3,0.32,0.19,0.06
africa_east-chimp-non_africa_east-non_africa_west,africa_east-chimp|non_africa_east-non_africa_west,12_34,0,0,,,
africa_east-denisovan-neanderthal_east-neanderthal_west,africa_east-denisovan|neanderthal_east-neanderthal_west,12_34,0,0,,,
africa_east-denisovan-neanderthal_east-non_africa_east,,,4,4,0.52,0.32,0.19
africa_east-denisovan-neanderthal_east-non_africa_west,,,4,4,0.52,0.32,0.19
africa_east-denisovan-neanderthal_west-non_africa_east,,,4,4,0.52,0.32,0.19
africa_east-denisovan-neanderthal_west-non_africa_west,,,4,4,0.52,0.32,0.19
africa_east-denisovan-non_africa_east-non_africa_west,africa_east-denisovan|non_africa_east-non_africa_west,12_34,0,0,,,
africa_east-neanderthal_east-neanderthal_west-non_africa_east,,,3,2,0.32,0.06,
africa_east-neanderthal_east-neanderthal_west-non_africa_west,,,3,2,0.32,0.06,
africa_east-neanderthal_east-non_africa_east-non_africa_west,africa_east-neanderthal_east|non_africa_east-non_africa_west,12_34,0,0,,,
africa_east-neanderthal_west-non_africa_east-non_africa_west,africa_east-neanderthal_west|non_africa_east-non_africa_west,12_34,0,0,,,
africa_west-chimp-denisovan-neanderthal_east,,,2,2,0.52,0.19,
africa_west-chimp-denisovan-neanderthal_west,,,2,2,0.52,0.19,
africa_west-chimp-denisovan-non_africa_east,,,4,4,0.52,0.32,0.19
africa_west-chimp-denisovan-non_africa_west,,,4,4,0.52,0.32,0.19
africa_west-chimp-neanderthal_east-neanderthal_west,africa_west-chimp|neanderthal_east-neanderthal_west,12_34,0,0,,,
africa_west-chimp-neanderthal_east-non_africa_east,,,3,3,0.32,0.19,0.06
africa_west-chimp-neanderthal_east-non_africa_west,,,3,3,0.32,0.19,0.06
africa_west-chimp-neanderthal_west-non_africa_east,,,3,3,0.32,0.19,0.06
africa_west-chimp-neanderthal_west-non_africa_west,,,3,3,0.32,0.19,0.06
africa_west-chimp-non_africa_east-non_africa_west,africa_west-chimp|non_africa_east-non_africa_west,12_34,0,0,,,
africa_west-denisovan-neanderthal_east-neanderthal_west,africa_west-denisovan|neanderthal_east-neanderthal_west,12_34,0,0,,,
africa_west-denisovan-neanderthal_east-non_africa_east,,,4,4,0.52,0.32,0.19
africa_west-denisovan-neanderthal_east-non_africa_west,,,4,4,0.52,0.32,0.19
africa_west-denisovan-neanderthal_west-non_africa_east,,,4,4,0.52,0.32,0.19
africa_west-denisovan-neanderthal_west-non_africa_west,,,4,4,0.52,0.32,0.19
africa_west-denisovan-non_africa_east-non_africa_west,africa_west-denisovan|non_africa_east-non_africa_west,12_34,0,0,,,
africa_west-neanderthal_east-neanderthal_west-non_africa_east,,,3,2,0.32,0.06,
africa_west-neanderthal_east-neanderthal_west-non_africa_west,,,3,2,0.32,0.06,
africa_west-neanderthal_east-non_africa_east-non_africa_west,africa_west-neanderthal_east|non_africa_east-non_africa_west,12_34,0,0,,,
africa_west-neanderthal_west-non_africa_east-non_africa_west,africa_west-neanderthal_west|non_africa_east-non_africa_west,12_34,0,0,,,
chimp-denisovan-neanderthal_east-neanderthal_west,chimp-denisovan|neanderthal_east-neanderthal_west,12_34,0,0,,,
chimp-denisovan-neanderthal_east-non_africa_east,,,4,4,0.52,0.32,0.19
chimp-denisovan-neanderthal_east-non_africa_west,,,4,4,0.52,0.32,0.19
chimp-denisovan-neanderthal_west-non_africa_east,,,4,4,0.52,0.32,0.19
chimp-denisovan-neanderthal_west-non_africa_west,,,4,4,0.52,0.32,0.19
chimp-denisovan-non_africa_east-non_africa_west,chimp-denisovan|non_africa_east-non_africa_west,12_34,0,0,,,
chimp-neanderthal_east-neanderthal_west-non_africa_east,,,3,3,0.32,0.19,0.06
chimp-neanderthal_east-neanderthal_west-non_africa_west,,,3,3,0.32,0.19,0.06
chimp-neanderthal_east-non_africa_east-non_africa_west,chimp-neanderthal_east|non_africa_east-non_africa_west,12_34,0,0,,,
chimp-neanderthal_west-non_africa_east-non_africa_west,chimp-neanderthal_west|non_africa_east-non_africa_west,12_34,0,0,,,
denisovan-neanderthal_east-neanderthal_west-non_africa_east,,,4,4,0.52,0.32,0.19
denisovan-neanderthal_east-neanderthal_west-non_africa_west,,,4,4,0.52,0.32,0.19
denisovan-neanderthal_east-non_africa_east-non_africa_west,denisovan-neanderthal_east|non_africa_east-non_africa_west,12_34,0,0,,,
denisovan-neanderthal_west-non_africa_east-non_africa_west,denisovan-neanderthal_west|non_africa_east-non_africa_west,12_34,0,0,,,
neanderthal_east-neanderthal_west-non_africa_east-non_africa_west,neanderthal_east-neanderthal_west|non_africa_east-non_africa_west,12_34,0,0,,,
